Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/02/2023,44956,21875,66831,15765,4368,20133,12746,19331,21875,41206,2584,5492
01/03/2023,45175,21954,67129,15871,4369,20240,12796,19417,21954,41371,2597,5518
01/04/2023,45328,22001,67329,15933,4377,20310,12826,19466,22001,41467,2612,5552
01/05/2023,45296,22025,67321,15835,4393,20228,12847,19514,22025,41539,2612,5554
01/06/2023,45347,22096,67443,15854,4368,20222,12889,19579,22096,41675,2608,5546
01/07/2023,45437,22116,67553,15896,4372,20268,12895,19617,22116,41733,2611,5552
01/08/2023,45683,22197,67880,16046,4372,20418,12947,19704,22197,41901,2615,5561
01/09/2023,45916,22294,68210,16105,4372,20477,13004,19819,22294,42113,2646,5620
01/10/2023,46066,22371,68437,16170,4373,20543,13051,19893,22371,42264,2649,5630
01/11/2023,46139,22380,68519,16179,4405,20584,13048,19897,22380,42277,2663,5658
01/12/2023,46201,22419,68620,16168,4437,20605,13078,19934,22419,42353,2665,5662
01/13/2023,46246,22412,68658,16219,4446,20665,13070,19926,22412,42338,2664,5655
01/14/2023,46238,22411,68649,16224,4466,20690,13052,19898,22411,42309,2661,5650
01/15/2023,46397,22499,68896,16278,4464,20742,13103,20004,22499,42503,2661,5651
01/16/2023,46511,22564,69075,16305,4462,20767,13142,20069,22564,42633,2674,5675
01/17/2023,46629,22625,69254,16344,4460,20804,13186,20129,22625,42754,2683,5696
01/18/2023,46690,22633,69323,16298,4483,20781,13203,20173,22633,42806,2702,5736
01/19/2023,46696,22573,69269,16315,4512,20827,13167,20130,22573,42703,2702,5739
01/20/2023,46770,22620,69390,16329,4486,20815,13201,20180,22620,42800,2718,5775
01/21/2023,46705,22615,69320,16306,4447,20753,13202,20194,22615,42809,2710,5758
01/22/2023,46808,22613,69421,16351,4461,20812,13211,20215,22613,42828,2720,5781
01/23/2023,46802,22582,69384,16325,4452,20777,13202,20190,22582,42772,2747,5835
01/24/2023,46976,22664,69640,16423,4481,20904,13247,20291,22664,42955,2721,5781
01/26/2023,47103,22751,69854,16397,4513,20910,13310,20394,22751,43145,2731,5799
01/27/2023,47102,22732,69834,16412,4485,20897,13305,20407,22732,43139,2731,5798
01/28/2023,47188,22766,69954,16474,4421,20895,13327,20455,22766,43221,2751,5838
01/29/2023,47302,22805,70107,16493,4458,20951,13347,20517,22805,43322,2748,5834
01/30/2023,47492,22850,70342,16561,4477,21038,13367,20553,22850,43403,2779,5901
01/31/2023,47572,22886,70458,16597,4470,21067,13390,20585,22886,43471,2787,5920
02/01/2023,47672,22953,70625,16596,4467,21063,13440,20665,22953,43618,2800,5944
02/02/2023,47819,23037,70856,16627,4459,21086,13502,20759,23037,43796,2813,5974
02/03/2023,47865,22973,70838,16678,4471,21149,13458,20728,22973,43701,2821,5988
02/04/2023,47980,23040,71020,16717,4483,21200,13502,20796,23040,43836,2819,5984
02/05/2023,47935,23033,70968,16646,4479,21125,13499,20792,23033,43825,2838,6018
02/06/2023,47810,22881,70691,16670,4508,21178,13398,20651,22881,43532,2820,5981
02/07/2023,47794,22871,70665,16641,4504,21145,13408,20657,22871,43528,2824,5992
02/08/2023,47817,22866,70683,16655,4501,21156,13407,20667,22866,43533,2825,5994
02/09/2023,47826,22874,70700,16647,4484,21131,13431,20682,22874,43556,2833,6013
02/10/2023,47846,22912,70758,16658,4465,21123,13449,20717,22912,43629,2833,6006
02/11/2023,47835,22915,70750,16656,4472,21128,13436,20699,22915,43614,2833,6008
02/12/2023,47810,22838,70648,16676,4471,21147,13399,20652,22838,43490,2834,6011
02/13/2023,47712,22782,70494,16599,4486,21085,13372,20611,22782,43393,2836,6016
02/14/2023,47689,22772,70461,16595,4484,21079,13378,20599,22772,43371,2833,6011
02/15/2023,47550,22756,70306,16512,4493,21005,13355,20566,22756,43322,2817,5979
02/16/2023,47702,22779,70481,16609,4525,21134,13375,20584,22779,43363,2821,5984
02/17/2023,47669,22812,70481,16562,4509,21071,13388,20603,22812,43415,2827,5995
02/18/2023,47754,22847,70601,16606,4500,21106,13419,20652,22847,43499,2827,5996
02/19/2023,47815,22830,70645,16662,4514,21176,13419,20644,22830,43474,2826,5995
02/20/2023,47743,22766,70509,16680,4496,21176,13370,20588,22766,43354,2818,5979
02/21/2023,47879,22895,70774,16719,4470,21189,13446,20699,22895,43594,2824,5991
02/22/2023,47897,22913,70810,16739,4478,21217,13445,20693,22913,43606,2823,5987
02/23/2023,47853,22931,70784,16705,4462,21167,13461,20730,22931,43661,2807,5956
02/24/2023,47879,23006,70885,16702,4463,21165,13501,20775,23006,43781,2798,5939
02/25/2023,47886,23018,70904,16689,4461,21150,13508,20794,23018,43812,2799,5942
02/26/2023,47901,23011,70912,16719,4482,21201,13500,20792,23011,43803,2783,5908
02/27/2023,47890,22898,70788,16770,4502,21272,13441,20703,22898,43601,2788,5915
02/28/2023,47882,22978,70860,16730,4487,21217,13483,20745,22978,43723,2792,5920
03/01/2023,47874,22974,70848,16742,4474,21216,13485,20737,22974,43711,2793,5921
03/02/2023,47794,22940,70734,16716,4452,21168,13456,20696,22940,43636,2797,5930
03/03/2023,47786,22969,70755,16690,4436,21126,13484,20742,22969,43711,2792,5918
03/04/2023,47810,22957,70767,16756,4439,21195,13486,20732,22957,43689,2774,5883
03/05/2023,47894,22966,70860,16803,4472,21275,13489,20744,22966,43710,2770,5875
03/06/2023,47990,22961,70951,16863,4495,21358,13481,20734,22961,43695,2782,5898
03/07/2023,48066,23011,71077,16867,4532,21399,13518,20772,23011,43783,2778,5895
03/08/2023,48036,22988,71024,16867,4540,21407,13483,20748,22988,43736,2770,5881
03/09/2023,48129,23047,71176,16877,4551,21428,13529,20797,23047,43844,2782,5904
03/10/2023,48034,22984,71018,16831,4527,21358,13518,20781,22984,43765,2779,5895
03/10/2023,48034,22984,71018,16831,4527,21358,13518,20781,22984,43765,2779,5895
03/11/2023,47972,22936,70908,16827,4502,21329,13496,20745,22936,43681,2778,5898
03/12/2023,47998,22943,70941,16844,4513,21357,13502,20761,22943,43704,2770,5880
03/13/2023,48077,22948,71025,16893,4539,21432,13513,20773,22948,43721,2766,5872
03/14/2023,48198,23022,71220,16993,4520,21513,13539,20814,23022,43836,2763,5871
03/15/2023,48221,23016,71237,16964,4518,21482,13554,20842,23016,43858,2777,5897
03/16/2023,48257,23029,71286,16968,4518,21486,13551,20852,23029,43881,2787,5919
03/17/2023,48304,23091,71395,16962,4508,21470,13591,20920,23091,44011,2784,5914
03/18/2023,48361,23168,71529,16989,4515,21504,13618,20965,23168,44133,2774,5892
03/19/2023,48488,23208,71696,17079,4524,21603,13646,21015,23208,44223,2762,5870
03/20/2023,48546,23196,71742,17113,4546,21659,13648,21018,23196,44214,2762,5869
03/21/2023,48693,23303,71996,17128,4557,21685,13705,21100,23303,44403,2780,5908
03/22/2023,48869,23355,72224,17190,4584,21774,13746,21169,23355,44524,2790,5926
03/23/2023,48731,23376,72107,17052,4526,21578,13761,21212,23376,44588,2796,5941
03/24/2023,48779,23430,72209,17062,4525,21587,13787,21261,23430,44691,2792,5931
03/25/2023,48802,23377,72179,17098,4544,21642,13731,21202,23377,44579,2805,5958
03/26/2023,48868,23424,72292,17124,4555,21679,13763,21234,23424,44658,2804,5955
03/27/2023,49013,23436,72449,17220,4560,21780,13786,21279,23436,44715,2805,5954
03/28/2023,49039,23483,72522,17230,4526,21756,13809,21323,23483,44806,2808,5960
03/29/2023,49210,23521,72731,17290,4574,21864,13845,21391,23521,44912,2805,5955
03/30/2023,49269,23560,72829,17276,4568,21844,13866,21423,23560,44983,2827,6002
03/31/2023,49249,23605,72854,17249,4536,21785,13890,21458,23605,45063,2830,6006
04/01/2023,49250,23595,72845,17294,4493,21787,13889,21467,23595,45062,2825,5996
04/02/2023,49440,23651,73091,17387,4546,21933,13917,21515,23651,45166,2824,5992
04/03/2023,49573,23700,73273,17429,4555,21984,13948,21566,23700,45266,2840,6023
04/04/2023,49570,23763,73333,17347,4582,21929,13961,21599,23763,45362,2849,6042
04/05/2023,49526,23733,73259,17327,4596,21923,13944,21587,23733,45320,2835,6016
04/06/2023,49647,23834,73481,17341,4571,21912,14009,21691,23834,45525,2850,6044
04/07/2023,49718,23842,73560,17407,4572,21979,14011,21688,23842,45530,2853,6051
04/08/2023,49793,23907,73700,17436,4569,22005,14034,21739,23907,45646,2852,6049
04/09/2023,49947,23944,73891,17484,4576,22060,14072,21801,23944,45745,2870,6086
04/10/2023,49926,23942,73868,17462,4581,22043,14079,21808,23942,45750,2866,6075
04/11/2023,49877,23893,73770,17469,4598,22067,14025,21730,23893,45623,2866,6080
04/12/2023,49879,23935,73814,17422,4579,22001,14056,21771,23935,45706,2880,6107
04/13/2023,49857,23978,73835,17379,4531,21910,14092,21835,23978,45813,2883,6112
04/14/2023,49977,24054,74031,17378,4597,21975,14130,21881,24054,45935,2887,6121
04/15/2023,50011,24072,74083,17396,4568,21964,14162,21929,24072,46001,2884,6118
04/16/2023,50182,24175,74357,17412,4599,22011,14217,22039,24175,46214,2890,6132
04/17/2023,50245,24206,74451,17469,4584,22053,14238,22069,24206,46275,2886,6123
04/18/2023,50398,24258,74656,17581,4589,22170,14272,22115,24258,46373,2882,6113
04/19/2023,50520,24366,74886,17620,4576,22196,14334,22205,24366,46571,2886,6119
04/20/2023,50654,24439,75093,17647,4574,22221,14370,22282,24439,46721,2902,6151
04/21/2023,50700,24473,75173,17674,4570,22244,14385,22330,24473,46803,2889,6126
04/22/2023,50772,24547,75319,17650,4590,22240,14426,22386,24547,46933,2898,6146
04/23/2023,50865,24577,75442,17717,4596,22313,14430,22399,24577,46976,2901,6153
04/24/2023,51011,24540,75551,17815,4635,22450,14427,22399,24540,46939,2906,6162
04/25/2023,51091,24644,75735,17849,4614,22463,14475,22461,24644,47105,2908,6167
04/26/2023,51280,24750,76030,17874,4620,22494,14533,22576,24750,47326,2929,6210
04/27/2023,51355,24803,76158,17861,4593,22454,14578,22675,24803,47478,2937,6226
04/28/2023,51509,24909,76418,17857,4599,22456,14647,22790,24909,47699,2956,6263
04/29/2023,51676,24992,76668,17947,4602,22549,14689,22866,24992,47858,2954,6261
04/30/2023,51776,25067,76843,17967,4610,22577,14733,22962,25067,48029,2943,6237
05/01/2023,51908,25112,77020,17982,4621,22603,14744,22998,25112,48110,2978,6307
05/02/2023,52085,25334,77419,17985,4616,22601,14856,23198,25334,48532,2967,6286
05/03/2023,52138,25291,77429,18020,4621,22641,14836,23173,25291,48464,2986,6324
05/04/2023,52459,25464,77923,18081,4631,22712,14939,23375,25464,48839,3011,6372
05/05/2023,52604,25552,78156,18099,4644,22743,15003,23474,25552,49026,3018,6387
05/06/2023,52709,25706,78415,18091,4618,22709,15100,23634,25706,49340,3008,6366
05/07/2023,52777,25796,78573,18069,4589,22658,15165,23741,25796,49537,3015,6378
05/08/2023,52839,25791,78630,18145,4598,22743,15150,23736,25791,49527,3004,6360
05/09/2023,52905,25858,78763,18088,4629,22717,15185,23801,25858,49659,3015,6387
05/10/2023,53102,26013,79115,18202,4617,22819,15266,23921,26013,49934,3004,6362
05/11/2023,53319,26119,79438,18246,4645,22891,15339,24053,26119,50172,3011,6375
05/12/2023,53335,26219,79554,18216,4620,22836,15382,24141,26219,50360,3003,6358
05/13/2023,53394,26276,79670,18222,4596,22818,15420,24205,26276,50481,3009,6371
05/14/2023,53501,26261,79762,18283,4616,22899,15421,24212,26261,50473,3018,6390
05/15/2023,53601,26257,79858,18378,4626,23004,15434,24243,26257,50500,3000,6354
05/16/2023,53865,26413,80278,18412,4640,23052,15535,24408,26413,50821,3025,6405
05/17/2023,54132,26604,80736,18457,4637,23094,15648,24588,26604,51192,3047,6450
05/18/2023,54225,26574,80799,18533,4628,23161,15630,24587,26574,51161,3059,6477
05/19/2023,54404,26828,81232,18367,4671,23038,15788,24866,26828,51694,3070,6500
05/20/2023,54505,26938,81443,18356,4680,23036,15846,24978,26938,51916,3064,6491
05/21/2023,54460,26917,81377,18275,4703,22978,15843,24987,26917,51904,3065,6495
05/22/2023,54449,26967,81416,18181,4691,22872,15874,25032,26967,51999,3090,6545
05/23/2023,54461,26971,81432,18215,4677,22892,15878,25013,26971,51984,3095,6556
05/24/2023,54451,27010,81461,18142,4696,22838,15901,25055,27010,52065,3096,6558
05/25/2023,54443,26991,81434,18150,4682,22832,15885,25042,26991,52033,3101,6569
05/26/2023,54335,26889,81224,18124,4695,22819,15830,24953,26889,51842,3101,6563
05/27/2023,54240,26908,81148,18061,4679,22740,15836,24954,26908,51862,3092,6546
05/28/2023,54178,26880,81058,18032,4667,22699,15815,24930,26880,51810,3095,6549
05/29/2023,54186,26946,81132,18012,4664,22676,15847,24976,26946,51922,3087,6534
05/30/2023,54221,26923,81144,18107,4647,22754,15840,24968,26923,51891,3071,6499
05/31/2023,54205,26940,81145,18043,4645,22688,15864,25001,26940,51941,3077,6516
06/01/2023,54236,27015,81251,18018,4654,22672,15898,25052,27015,52067,3076,6512
06/02/2023,53838,26841,80679,17837,4606,22443,15794,24896,26841,51737,3068,6499
06/03/2023,53808,26901,80709,17784,4611,22395,15833,24940,26901,51841,3055,6473
06/04/2023,53748,26820,80568,17803,4625,22428,15788,24880,26820,51700,3040,6440
06/05/2023,53582,26805,80387,17660,4621,22281,15774,24874,26805,51679,3034,6427
06/06/2023,53690,26915,80605,17613,4663,22276,15846,24968,26915,51883,3044,6446
06/07/2023,53693,26918,80611,17622,4656,22278,15837,24942,26918,51860,3055,6473
06/08/2023,53696,26965,80661,17590,4646,22236,15869,24968,26965,51933,3061,6492
06/09/2023,53690,26953,80643,17563,4672,22235,15870,24968,26953,51921,3059,6487
06/10/2023,53644,26957,80601,17499,4675,22174,15881,24978,26957,51935,3061,6492
06/11/2023,53516,26863,80379,17496,4672,22168,15814,24871,26863,51734,3053,6477
06/12/2023,53556,26893,80449,17550,4684,22234,15816,24882,26893,51775,3036,6440
06/13/2023,53640,26942,80582,17553,4685,22238,15861,24955,26942,51897,3041,6447
06/14/2023,53643,26970,80613,17557,4677,22234,15880,24978,26970,51948,3033,6431
06/15/2023,53530,26913,80443,17518,4681,22199,15843,24922,26913,51835,3022,6409
06/16/2023,53578,27069,80647,17421,4700,22121,15926,25058,27069,52127,3017,6399
06/17/2023,53494,27088,80582,17350,4679,22029,15937,25069,27088,52157,3013,6396
06/18/2023,53287,27083,80370,17199,4673,21872,15924,25051,27083,52134,2997,6364
06/19/2023,53415,27150,80565,17254,4685,21939,15971,25119,27150,52269,2995,6357
06/20/2023,53489,27131,80620,17335,4677,22012,15961,25119,27131,52250,2996,6358
06/21/2023,53542,27260,80802,17287,4676,21963,16029,25216,27260,52476,2999,6363
06/22/2023,53560,27329,80889,17259,4644,21903,16072,25279,27329,52608,3007,6378
06/23/2023,53460,27281,80741,17201,4681,21882,16030,25224,27281,52505,2995,6354
06/24/2023,53505,27395,80900,17175,4673,21848,16101,25324,27395,52719,2985,6333
06/25/2023,53516,27455,80971,17155,4661,21816,16134,25384,27455,52839,2977,6316
06/26/2023,53501,27430,80931,17133,4691,21824,16129,25377,27430,52807,2970,6300
06/27/2023,53615,27575,81190,17159,4698,21857,16194,25477,27575,53052,2960,6281
06/28/2023,53521,27560,81081,17107,4691,21798,16181,25469,27560,53029,2948,6254
06/29/2023,53545,27635,81180,17047,4700,21747,16228,25534,27635,53169,2951,6264
06/30/2023,53412,27654,81066,16927,4687,21614,16232,25539,27654,53193,2949,6259
07/01/2023,53389,27681,81070,16909,4677,21586,16240,25545,27681,53226,2948,6258
07/02/2023,53352,27630,80982,16942,4696,21638,16204,25498,27630,53128,2927,6216
07/03/2023,53493,27677,81170,17033,4703,21736,16239,25546,27677,53223,2927,6211
07/04/2023,53463,27684,81147,16965,4699,21664,16246,25552,27684,53236,2946,6247
07/05/2023,53763,27811,81574,17148,4721,21869,16306,25663,27811,53474,2935,6231
07/06/2023,53579,27818,81397,17025,4729,21754,16287,25628,27818,53446,2918,6197
07/07/2023,53545,27859,81404,16968,4719,21687,16308,25654,27859,53513,2922,6204
07/08/2023,53471,27865,81336,16943,4729,21672,16329,25665,27865,53530,2887,6134
07/09/2023,53486,27895,81381,16973,4710,21683,16337,25683,27895,53578,2881,6120
07/10/2023,53403,27927,81330,16770,4735,21505,16369,25721,27927,53648,2909,6177
07/11/2023,53469,28025,81494,16819,4732,21551,16411,25773,28025,53798,2893,6145
07/12/2023,53507,28096,81603,16781,4742,21523,16445,25850,28096,53946,2887,6134
07/13/2023,53713,28203,81916,16887,4751,21638,16505,25929,28203,54132,2894,6146
07/14/2023,53563,28162,81725,16790,4739,21529,16477,25887,28162,54049,2891,6147
07/15/2023,53560,28248,81808,16720,4747,21467,16508,25935,28248,54183,2895,6158
07/16/2023,53610,28238,81848,16813,4725,21538,16491,25923,28238,54161,2891,6149
07/17/2023,53732,28225,81957,16867,4769,21636,16490,25923,28225,54148,2905,6173
07/18/2023,53741,28205,81946,16868,4782,21650,16489,25919,28205,54124,2904,6172
07/19/2023,53797,28209,82006,16905,4784,21689,16491,25913,28209,54122,2916,6195
07/20/2023,53891,28225,82116,16943,4794,21737,16513,25940,28225,54165,2925,6214
07/21/2023,53851,28270,82121,16962,4752,21714,16527,25953,28270,54223,2910,6184
07/22/2023,53762,28324,82086,16891,4713,21604,16544,25970,28324,54294,2912,6188
07/23/2023,53801,28269,82070,16971,4710,21681,16522,25948,28269,54217,2904,6172
07/24/2023,53954,28291,82245,17050,4753,21803,16544,25979,28291,54270,2906,6172
07/25/2023,53848,28312,82160,16952,4754,21706,16564,25996,28312,54308,2895,6146
07/26/2023,53851,28290,82141,16967,4751,21718,16559,25976,28290,54266,2899,6157
07/27/2023,53977,28318,82295,17047,4772,21819,16587,26020,28318,54338,2891,6138
07/28/2023,53883,28333,82216,16999,4682,21681,16595,26038,28333,54371,2903,6164
07/29/2023,53909,28366,82275,16945,4717,21662,16635,26085,28366,54451,2900,6162
07/30/2023,53849,28392,82241,16933,4695,21628,16638,26091,28392,54483,2886,6130
07/31/2023,53830,28398,82228,17015,4708,21723,16643,26093,28398,54491,2835,6014
08/01/2023,53745,28462,82207,17023,4697,21720,16671,26121,28462,54583,2784,5904
08/02/2023,53634,28466,82100,16997,4666,21663,16683,26118,28466,54584,2757,5853
08/03/2023,53580,28552,82132,16981,4592,21573,16716,26171,28552,54723,2747,5836
08/04/2023,53462,28582,82044,16762,4661,21423,16739,26225,28582,54807,2738,5814
08/05/2023,53406,28623,82029,16677,4680,21357,16776,26270,28623,54893,2722,5779
08/06/2023,53394,28648,82042,16626,4700,21326,16781,26288,28648,54936,2723,5780
08/07/2023,53459,28727,82186,16617,4734,21351,16820,26344,28727,55071,2717,5764
08/08/2023,53753,28867,82620,16782,4734,21516,16893,26480,28867,55347,2710,5757
08/09/2023,53759,28963,82722,16801,4701,21502,16929,26533,28963,55496,2694,5724
08/10/2023,53736,28970,82706,16793,4700,21493,16915,26530,28970,55500,2688,5713
08/11/2023,53758,28916,82674,16815,4719,21534,16902,26521,28916,55437,2684,5703
08/12/2023,53924,29121,83045,16774,4707,21481,17026,26733,29121,55854,2687,5710
08/13/2023,53945,29214,83159,16709,4710,21419,17075,26809,29214,56023,2688,5717
08/14/2023,54065,29266,83331,16801,4712,21513,17090,26837,29266,56103,2689,5715
